Wall time,Step,Value
1736785427.3021388,21279393,0.8452679514884949
1736785473.8132226,21286231,0.17843863368034363
1736785530.9331653,21294549,1.9108678102493286
1736785540.7714286,21296073,2.1774344444274902
1736785884.0047514,21345784,1.6472715139389038
1736786138.5129075,21382795,1.4110790491104126
1736786139.7936826,21382985,1.5396009683609009
1736786518.6371396,21437669,1.4343665838241577
1736786594.6365776,21448474,0.9938835501670837
1736786662.2099564,21457968,1.6556880474090576
1736786825.314049,21481295,0.2398696392774582
1736786945.2902763,21498840,0.8891065716743469
1736787082.0505981,21518691,1.2312008142471313
1736787102.3936758,21521468,1.7305188179016113
1736787176.9774349,21532105,0.8085775971412659
1736787234.1674607,21540198,0.39183691143989563
1736787313.2784052,21551681,0.9035465121269226
1736787343.869088,21556165,0.7191541790962219
1736787361.8241363,21558747,-0.09527833014726639
1736787749.5292113,21614653,0.6622408628463745
1736787752.1447635,21615033,0.9314520359039307
1736787878.0779395,21633125,0.5255402326583862
1736788154.0732632,21672505,1.7058641910552979
1736788157.2006264,21672977,0.05804930254817009
1736788209.018759,21680512,1.4416037797927856
1736788254.0455291,21686821,0.5281534194946289
1736788554.095702,21730067,-1.583574652671814
1736788711.76976,21753361,0.9242587685585022
1736788902.6480114,21780961,-0.02215917780995369
1736789290.140615,21837092,0.13332778215408325
1736789581.778639,21879588,-0.8173357248306274
1736790242.622865,21975156,0.41852837800979614
1736790293.444692,21982450,1.2818536758422852
1736790323.8111544,21986816,1.0108929872512817
1736790918.5895495,22073228,0.3917982876300812
1736791309.2227545,22130837,1.6450310945510864
1736791546.864974,22165423,0.8263763189315796
1736791549.6603441,22165822,3.5229756832122803
1736791630.8880115,22177575,1.256108045578003
1736791837.8641324,22207754,1.4511358737945557
1736791932.9237773,22221807,0.7862451672554016
1736792582.680602,22315906,-1.1172363758087158
1736793290.918857,22419295,0.3554520905017853
1736793350.158458,22427836,1.6016749143600464
1736793676.049045,22475324,1.4192767143249512
1736793836.6236737,22499098,1.1753910779953003
1736794041.4914346,22528999,1.900179147720337
1736794051.281901,22530442,1.352171778678894
1736794060.8338118,22531811,0.18725234270095825
1736794093.9011273,22536812,1.0609158277511597
1736794140.0602806,22543538,0.560975968837738
1736794383.160523,22579249,0.5370337963104248
1736794784.4649305,22638212,0.6476431488990784
1736794840.884792,22646775,1.0770506858825684
1736794866.305056,22650518,-0.49677231907844543
1736795301.862966,22714907,0.8270257115364075
1736795816.1739306,22789748,0.85071861743927
1736795862.6235423,22796566,1.81477952003479
1736795907.2644374,22803190,0.5264670848846436
1736795934.2656205,22807051,2.7308785915374756
1736796084.483457,22829435,1.010298490524292
1736796809.1717992,22935979,1.4775116443634033
1736796871.1039352,22945154,1.4970098733901978
